59,"EVGA 750 BR, 80+ BRONZE 100-BR-0750-KN 750 Watts PSU","₹5,999"
60,Bharti Flex Board HiLight Rainproof Power Supply 600 Watt 12 Volt For 390 LED Module Electrical Instruments Cabinet,"₹2,003"
61,EVGA 220-GT-1000-XN SupernovaGT 1000 Watts PSU,"₹17,899"
62,EVGA 110-BQ-0850-VN BQ 850 Watts PSU,"₹8,499"
63,Divinext 12 Volt 1.7 Amp Agricultural Sprayer Pump Battery Charger DC SMPS Power Supply 20 Watts PSU,₹499
64,MSI MAG A650BN 650 Watts PSU,"₹5,390"
65,"ds vision Led Indicator 12 Volt / 30 Amp DC Output Power Supply, Metal Case Type Power LED Driver Power Supply Adaptor for CCTV Camera AC Input 100/240vAC 360 Watts PSU (White) 360 Watts PSU","₹1,499"
66,COOLER MASTER V SFX Gold 850W A/UK Cable 850 Watts PSU,"₹13,543"
67,Nzxt C 750 750 Watts PSU,"₹10,499"
68,DHRUV-PRO Led Indicator 48 Volt / 10 Amp DC Output Power Supply Metal Case Type Power Supply Adaptor for multipurpose use AC Input 100/240vAC 480 Watts PSU,"₹2,950"
69,Divinext T8000 SD Card Pixel Controller RGB LED Strip Light Controller T-8000 with Adaptor 100 Watts PSU,"₹3,399"
70,"COOLER MASTER MWE Gold V2, Fully modular 1050W A/IN Ca 1050 Watts PSU","₹17,499"
71,artis 600 Watt High Performance Power Supply Unit 600 Watts PSU,"₹3,999"
72,VEDRID SMPS -450W (DSATA- 20+4 Pin) Power Supply (Silver) 450 Watts PSU,₹699
73,artis 2620 3.0C Micro ATX Cabinet,"₹2,599"
74,Divinext Rainproof 5 Volt 60 Amp 300 Watt Power Supply Unit AC to DC SMPS Power Adaptor Charger 300 Watts PSU,"₹1,499"
75,WEFLY SATA Optical 2nd Hard Drive Caddy with SSD HDD for 9.5mm Universal CD/DVD Slot Internal Hard Drive Enclosure/HDD Caddy Cabinet,₹220
76,Enter E-500b Computer Power Supply 500 Watts PSU,₹743
77,Omron S8FS-C05024J POWER SUPPLY 50 Watts PSU,"₹1,090"
78,Thermaltake Toughpower GF 750W 750 Watts PSU,"₹10,119"
79,Riptu T8000TTL With 2GB SD Card Pixel Controller RGB LED Strip Light Controller 3 Watts PSU,"₹5,698"
80,Divinext 12V DC 33.3A 400W Rainproof LED Driver AC-DC Power Supply 400 Watts PSU,"₹1,499"
81,DHRUV-PRO DHRUV-PRO Led Indicator 12 Volts / 5 Amp DC Output Power Supply High Quality Metal Case Type Power LED Driver Power Supply Adaptor for CCTV Camera AC Input 100/240vAC 60 Watts PSU,₹543
82,Bright Electronic Components 12V 20A Power Supply 240 Watts PSU,₹999
83,artis SPARK 2.0 Full Tower Cabinet,"₹2,699"
84,LAPCARE SMPS Power supply (LPS450) 450 Watts PSU,₹670
85,Omron S8FS-C35024 POWER SUPPLY 350 Watts PSU,"₹3,105"
86,"TRIDEV TRADERS 12V 10A 120W DC Switching Switch Power Supply for Pixel Light, LED Strip, CCTV 120 Watts PSU",₹699
87,Divinext 5 Volt 60 Amp 300 Watt LED Rainproof Switching Power Supply SMPS Adapter DC5V 300 Watts PSU,"₹1,499"
88,Riptu 80 Amp 400 Watt Led Rainproof power supply SMPS 400 Watts PSU,"₹2,049"
89,Circle Power Supply CPH 799 400 Watts PSU,"₹1,199"
