s.no,SSD,MRP
45,"GIGABYTE SATA 240 GB Laptop, All in One PC's, Desktop Internal Solid State Drive (SSD) ((GP-GSTFS31240GNTD)","₹1,799"
46,"Seagate BarraCuda(ZA240CV10002) SATA SSD 240 GB Laptop, Desktop, All in One PC's Internal Solid State Drive (SSD) (ZA240CV1A0012)","₹1,799"
47,"SAMSUNG 980 Pro 500 GB Laptop, Desktop Internal Solid State Drive (SSD) (MZ-V8P500BW)","₹5,699"
48,"ZEBRONICS Smart 128 GB Desktop, Laptop, All in One PC's Internal Solid State Drive (SSD) (ZEB-SD13)",₹949
49,"EVM SATA 256 GB All in One PC's, Desktop, Laptop Internal Solid State Drive (SSD) (256GB SATA SSD)","₹1,250"
50,"Matrix M.2 SOLID STATE DRIVE 128 GB Desktop, Laptop, All in One PC's Internal Solid State Drive (SSD) (ST-VLW128G)",₹779
51,"HP S750 SSD , SATA 2.5"" 256 GB Desktop, Laptop Internal Solid State Drive (SSD) (S750 3D NAND 256GB)","₹1,999"
52,"KINGSTON A 400 240 GB All in One PC's, Desktop, Laptop Internal Solid State Drive (SSD) (SA400S37)","₹1,800"
53,Crucial MX500 500 GB All in One PC's Internal Solid State Drive (SSD) (MX 500),"₹3,200"
54,"Simmtronics SSD 256 GB All in One PC's, Desktop, Laptop Internal Solid State Drive (SSD) (2.5 "" SATA 6Gb/s SSD)","₹1,299"
55,"Consistent NVMe 256 GB All in One PC's, Desktop, Laptop Internal Solid State Drive (SSD) (256GB NVMe)","₹1,590"
56,"MSI SPATIUM M461 1 TB Laptop, Desktop, All in One PC's Internal Solid State Drive (SSD) (S78-440L1D0-P83)","₹5,550"
57,"HIKVISION E100 SATA SSD 128 GB Desktop, Laptop Internal Solid State Drive (SSD) (HS-SSD-E100)","₹1,550"
58,"EVM SSD 256 GB Desktop, Laptop Internal Solid State Drive (SSD) (256GB)","₹1,199"
59,"Crucial MX500 250GB 3D NAND SATA 2.5 Inch 500 Laptop, Desktop Internal Solid State Drive (SSD) (CT500MX500SSD1)","₹2,933"
60,Crucial CT 1 TB Laptop Internal Solid State Drive (SSD) (MX500),"₹6,200"
61,"EVM M.2 2280 1 TB Laptop, Desktop, All in One PC's Internal Solid State Drive (SSD) (M.2 2280)","₹3,999"
62,"WD Blue 3D 250 GB Laptop, Desktop, Servers, Surveillance Systems Internal Solid State Drive (SSD) (WDS250G2B0A)","₹2,399"
63,"SAMSUNG 860 Pro 512 GB Laptop, Desktop Internal Solid State Drive (SSD) (MZ-76P512BW)","₹12,080"
64,"Crucial CT 2000 GB Laptop, Desktop Internal Solid State Drive (SSD) (BX500)","₹9,525"
65,Seagate Firecuda 520 with PCIe Gen4 x4 NVMe 1.3 for Gaming PC Gaming Laptop Desktop 1 TB Laptop Internal Solid State Drive (SSD) (ZP1000GM3A002),"₹13,591"
66,"scuda SATA 2.5 inch 256 GB Laptop, Desktop, All in One PC's Internal Solid State Drive (SSD) (256GB SATA SSD)","₹1,750"
67,"ZEBRONICS SSD 256 GB All in One PC's, Desktop, Laptop Internal Solid State Drive (SSD) (ZEB MN26)","₹1,699"
68,"Crucial CT 2 TB Laptop, Desktop Internal Solid State Drive (SSD) (CT2000MX500SSD1)","₹11,732"
69,"Xsentuals M.2 NVMe 8 GB Desktop, Laptop Internal Solid State Drive (SSD) (M.2 NVMe SSD Converter Adapter Expansion Card for PCIe/PCI Express)",₹599
70,"Crucial BX500 SATA SSD 240 GB Desktop, Laptop, All in One PC's, Network Attached Storage, Surveillance Systems, Servers Internal Solid State Drive (SSD) (BX500 240GB 2.5 INCH SATA SSD)","₹1,449"
71,"SAMSUNG 870 QVO 4 TB Laptop, Desktop Internal Solid State Drive (SSD) (MZ-77Q4T0BW)","₹28,179"
72,"Crucial P5 Plus 2 TB Laptop, Desktop Internal Solid State Drive (SSD) (CT2000P5PSSD8)","₹16,234"
73,"Crucial P2 1 TB Laptop, Desktop Internal Solid State Drive (SSD) (P2 NVMe CT1000P2SSD8)","₹7,000"
74,HP EX900 M.2 PCIe 3.1 x4 NVMe 3D TLC NAND 500 GB Laptop Internal Solid State Drive (SSD) (2YY44AA#ABC),"₹3,416"
75,"SAMSUNG 870 QVO 8 TB Laptop, Desktop Internal Solid State Drive (SSD) (MZ-77Q8T0BW)","₹55,249"
